3, 1776, Note_on_c, 1, 40, 121
3, 1794, Note_on_c, 1, 40, 0
3, 1800, Note_on_c, 1, 35, 121
3, 1818, Note_on_c, 1, 35, 0
3, 1824, Note_on_c, 1, 40, 124
3, 1842, Note_on_c, 1, 40, 0
3, 1848, Note_on_c, 1, 28, 121
3, 1866, Note_on_c, 1, 28, 0
3, 1872, Note_on_c, 1, 47, 124
3, 1890, Note_on_c, 1, 47, 0
3, 1896, Note_on_c, 1, 35, 121
3, 1914, Note_on_c, 1, 35, 0
3, 1920, Note_on_c, 1, 28, 121
3, 1950, Note_on_c, 1, 28, 0
3, 1992, Note_on_c, 1, 40, 108
3, 2012, Note_on_c, 1, 40, 0
3, 2016, Note_on_c, 1, 40, 108
3, 2046, Note_on_c, 1, 40, 0
3, 2064, Note_on_c, 1, 40, 108
3, 2094, Note_on_c, 1, 40, 0
3, 2112, Note_on_c, 1, 40, 108
3, 2142, Note_on_c, 1, 40, 0
3, 2160, Note_on_c, 1, 40, 108
3, 2190, Note_on_c, 1, 40, 0
3, 2208, Note_on_c, 1, 40, 108
3, 2238, Note_on_c, 1, 40, 0
3, 2256, Note_on_c, 1, 40, 108
3, 2286, Note_on_c, 1, 40, 0
3, 2304, Note_on_c, 1, 40, 108
3, 2334, Note_on_c, 1, 40, 0
3, 2352, Note_on_c, 1, 40, 108
3, 2382, Note_on_c, 1, 40, 0
3, 2400, Note_on_c, 1, 40, 108
3, 2430, Note_on_c, 1, 40, 0
3, 2448, Note_on_c, 1, 40, 108
3, 2478, Note_on_c, 1, 40, 0
3, 2496, Note_on_c, 1, 40, 108
3, 2514, Note_on_c, 1, 40, 0
3, 2520, Note_on_c, 1, 28, 108
3, 2538, Note_on_c, 1, 28, 0
3, 2544, Note_on_c, 1, 47, 108
3, 2562, Note_on_c, 1, 47, 0
3, 2568, Note_on_c, 1, 35, 108
3, 2586, Note_on_c, 1, 35, 0
3, 2592, Note_on_c, 1, 28, 108
3, 2627, Note_on_c, 1, 28, 0
3, 5352, Control_c, 1, 7, 123
3, 5352, Control_c, 1, 7, 115
3, 5352, Note_on_c, 1, 40, 126
3, 5355, Control_c, 1, 7, 118
3, 5358, Control_c, 1, 7, 121
3, 5364, Control_c, 1, 7, 123
3, 5372, Note_on_c, 1, 40, 0
3, 5376, Note_on_c, 1, 40, 123
3, 5401, Note_on_c, 1, 40, 0
3, 5424, Note_on_c, 1, 40, 126
3, 5449, Note_on_c, 1, 40, 0
3, 5472, Note_on_c, 1, 40, 123
3, 5497, Note_on_c, 1, 40, 0
3, 5520, Note_on_c, 1, 40, 126
3, 5545, Note_on_c, 1, 40, 0
3, 5568, Note_on_c, 1, 40, 123
3, 5593, Note_on_c, 1, 40, 0
3, 5616, Note_on_c, 1, 40, 126
3, 5641, Note_on_c, 1, 40, 0
3, 5664, Note_on_c, 1, 40, 123
3, 5689, Note_on_c, 1, 40, 0
3, 5712, Note_on_c, 1, 40, 126
3, 5737, Note_on_c, 1, 40, 0
3, 5760, Note_on_c, 1, 40, 121
3, 5805, Note_on_c, 1, 40, 0
3, 5808, Note_on_c, 1, 40, 121
3, 5826, Note_on_c, 1, 40, 0
3, 5832, Note_on_c, 1, 35, 121
3, 5850, Note_on_c, 1, 35, 0
3, 5856, Note_on_c, 1, 40, 124
3, 5874, Note_on_c, 1, 40, 0
3, 5880, Note_on_c, 1, 28, 121
3, 5898, Note_on_c, 1, 28, 0
3, 5904, Note_on_c, 1, 47, 124
3, 5922, Note_on_c, 1, 47, 0
3, 5928, Note_on_c, 1, 35, 121
3, 5946, Note_on_c, 1, 35, 0
3, 5952, Note_on_c, 1, 40, 118
3, 5970, Note_on_c, 1, 40, 0
3, 5976, Control_c, 1, 7, 121
3, 5976, Note_on_c, 1, 40, 112
3, 5994, Note_on_c, 1, 40, 0
3, 6000, Note_on_c, 1, 40, 112
3, 6018, Note_on_c, 1, 40, 0
3, 6024, Note_on_c, 1, 40, 112
3, 6042, Note_on_c, 1, 40, 0
3, 6048, Note_on_c, 1, 40, 112
3, 6066, Note_on_c, 1, 40, 0
3, 6072, Note_on_c, 1, 40, 112
3, 6090, Note_on_c, 1, 40, 0
3, 6096, Note_on_c, 1, 40, 112
3, 6114, Note_on_c, 1, 40, 0
3, 6120, Note_on_c, 1, 40, 112
3, 6138, Note_on_c, 1, 40, 0
3, 6144, Note_on_c, 1, 40, 112
3, 6162, Note_on_c, 1, 40, 0
3, 6168, Note_on_c, 1, 40, 112
3, 6186, Note_on_c, 1, 40, 0
3, 6192, Note_on_c, 1, 40, 112
3, 6210, Note_on_c, 1, 40, 0
3, 6216, Note_on_c, 1, 40, 112
3, 6234, Note_on_c, 1, 40, 0
3, 6240, Note_on_c, 1, 40, 112
3, 6258, Note_on_c, 1, 40, 0
3, 6264, Note_on_c, 1, 40, 112
3, 6282, Note_on_c, 1, 40, 0
3, 6288, Note_on_c, 1, 40, 112
3, 6306, Note_on_c, 1, 40, 0
3, 6312, Note_on_c, 1, 40, 112
3, 6330, Note_on_c, 1, 40, 0
3, 6336, Note_on_c, 1, 35, 112
3, 6354, Note_on_c, 1, 35, 0
3, 6360, Note_on_c, 1, 35, 112
3, 6378, Note_on_c, 1, 35, 0
3, 6384, Note_on_c, 1, 35, 112
3, 6402, Note_on_c, 1, 35, 0
3, 6408, Note_on_c, 1, 35, 112
3, 6426, Note_on_c, 1, 35, 0
3, 6432, Note_on_c, 1, 35, 112
3, 6450, Note_on_c, 1, 35, 0
3, 6456, Note_on_c, 1, 35, 112
3, 6474, Note_on_c, 1, 35, 0
3, 6480, Note_on_c, 1, 35, 112
3, 6498, Note_on_c, 1, 35, 0
3, 6504, Note_on_c, 1, 35, 112
3, 6522, Note_on_c, 1, 35, 0
3, 6528, Note_on_c, 1, 35, 112
3, 6546, Note_on_c, 1, 35, 0
3, 6552, Note_on_c, 1, 35, 112
3, 6570, Note_on_c, 1, 35, 0
3, 6576, Note_on_c, 1, 35, 112
3, 6594, Note_on_c, 1, 35, 0
3, 6600, Note_on_c, 1, 35, 112
3, 6618, Note_on_c, 1, 35, 0
3, 6624, Note_on_c, 1, 35, 112
3, 6642, Note_on_c, 1, 35, 0
3, 6648, Note_on_c, 1, 35, 112
3, 6666, Note_on_c, 1, 35, 0
3, 6672, Note_on_c, 1, 35, 112
3, 6690, Note_on_c, 1, 35, 0
3, 6696, Note_on_c, 1, 35, 112
3, 6714, Note_on_c, 1, 35, 0
3, 6720, Note_on_c, 1, 40, 112
3, 6738, Note_on_c, 1, 40, 0
3, 6744, Note_on_c, 1, 40, 112
3, 6762, Note_on_c, 1, 40, 0
3, 6768, Note_on_c, 1, 40, 112
3, 6786, Note_on_c, 1, 40, 0
3, 6792, Note_on_c, 1, 40, 112
3, 6810, Note_on_c, 1, 40, 0
3, 6816, Note_on_c, 1, 40, 112
3, 6834, Note_on_c, 1, 40, 0
